id,dealer_name,dealer_contact,dealer_address
68,PAWAN ELE,1234567991,GHANOUR
69,VERDHMAN SONIPAT,7015425583,SONIPAT
70,ZAHAR ELE,9468026100,AMBALA CANTT
71,GUPTA TV SHOWROOM,8059588859,AMBALA CANT
72,DEEPAK CHEEKA,9315621112,CHEEKA
73,OM PARKASH JHAMB AMBALA CANTT,9729555556,AMBALA CANTT
74,BALAJI HINDUSTAN,1234567991,PANIPAT
75,SHAM TARAWADI,1234567891,TARAWADI
76,GANPATI VISION,1234567913,YNR
77,UTTAM PALACE,32165498752,CHHACHHROULI
78,DHAWAN ELE RADOUR,1234569741,RADOUR
79,RAJA BARARA,9728909107,BARARA
80,SUKHDEV JATHLANA,1234567891,JATHLANA
81,CHIRAG ELE KARNAL,9896010060,KARNAL
82,SAHNI ELE,9017888588,JAGADHRI
83,KALRA FRIUT  SONIPAT,8053972517,SONIPAT
84,PARAS COPMPUTER,9254667100,LADWA
85,SR KARNAL,7404183900,KARNAL
86,DD AMBALA CANTT,9996852222,AMBALA CANTT
87,SWEETY ELE YNR,8607668006,YNR
88,RAJLUXMI KARNAL,9416121534,KARNAL
89,SHAKTI ISMILABAD,9896752547,ISMILABAD
90,PRINCE KARNAL,9896229065,KARNAL
91,PURI SONIPAT,9812227107,SONIPAT
92,VK AMBALA CITY,9306602727,AMBALA CITY
49,VISHAL ELE,7876969746,SIVAN
93,SJK BHALGARH,9896804008,BHALGARH
94,SUPER ELE,9255529255,GOHANA
95,JK FURNITUR,5545454545,KAITHAL
96,SUBHASH ELE,9416246401,AMBALA CANTT
97,KAKAR ASSOCIATE,8307285853,YNR
98,SHIV THANACHHAPAR,9813286371,THANACHHAPAR
99,STAR ELE WORD,9896984377,YNR
100,MUSKAAN  ELE,7015505292,AMBALA CITY
101,LUXMI KHZ,8168293336,KHIZRABAD
102,GOEL KALKA,9354199472,KALKA
103,GUPTA MATHLODA,9215827500,MATHLODA
104,DHEER 2,8607123712,YNR
105,SHRI GAUTAM GHANOUR,65487897897,GHANOUR
106,SUDHIR SONIPAT,7988067669,SONIPAT
107,DEVA ELE,9815871777,KARNAL
108,GROVER SONIPAT,234566777899,SONIPAT
109,GOLDEN LADWA,7015131558,LADWA
110,GANDHI GHANOUR,65464646465,GHANOUR
111,GARG GIFT HOUSE,9034221066,ASSANDH
112,BK SAHA,7015745499,SAHA
113,RAJU ELE,654654564654,JAGADHRI
114,DURGA JAGADHRI,9050656744,JAGADHRI
115,KAMBOJ BILASPUR,9416406036,BILASPUR
116,SAINI BROTHER,7015201385,AMBALA
117,AS SONIPAT,9896830422,SONIPAT
118,ANURAG RADIO,9992282381,PEHWA
119,RAJA TV BILASPUR,8168222962,BILASPUR
120,GAYATRI BARWALA,8901189777,BARWALA
121,CHIRAG SONIPAT,8950044415,SONIPAT
122,SIMRAN MUSTAFABAD,9466400056,MUSTAFABAD
123,CHAWLA KHARKHODA,55456545464,KHARKHODA
124,CHAWLA JAGADHRI,9354214011,JAGADHRI
126,SHREE GANESH NIGDU,5454466665,NIGDU
127,BANGA ELE,9729350725,YNR
128,MAA SHARDA,9355570048,YNR
129,OM SAI SHADIPUR,654564646546,SHADIPUR
130,CHAMAN NARAINGARH,54544654646,NARAINGARH
131,JAGDAMBA SEHZADPUR,55656465465,SEHZADPUR
132,AAKASH ENTERPRISES,656545646546,YNR
133,SACHDEVA TARAWADI,66545646546,TARAWADI
134,ahuja camp,9416446299,YNR
135,NEW KATYAL  NILOKHERI ,1234567890,NILOKHERI
136,SAGAR SONIPAT,12121212121,SONIPAT
137,SAINI HARNOL,0123456789,HARNOL
138,SHUKDEV JATLANA ,0123456789,JATHLANA
139,KAKAR COMPUTER BARARA,566465456456,BARARA
140,OM PARKASH JUNDLI,656565665656,JUNDLI
141,SABHARWAL SAHA,9416352669,SAHA
142,SHREE OM KHURANA,564565545545,JAGADHRI
143,LUXMI RADOUR,5645646456,RADOUR
144,VERMA KARNAL,1213456788354,KARNAL
145,KAKAR JUNDLA,6545646456,JUNDLA
146,BAGGA RADIO KAITHAL,655454644654,KAITHAL
147,PURI PEHWA,5645645454,PEHWA
148,SAKSHI TRADER,6545645661,JAGADHRI
149,CHAMAN BARWALA,65456444564,BARWALA
150,GOEL RAMGARH,9216753224,RAMGARH
151,KAMBOJ BURIA,5645454564,BURIA
152,VICKY NIGDU,5645645646,NIGDU
153,GUPTA J/W/S YNR,656544464545,YNR
154,SARSWATI COMPUTER,656545456456,KAITHAL
155,BAJAJ MUSIC ASSANDH,5456465654,ASSANDH
156,BHARAT ELE GOHANA ,1234567891,GOHANA
157,HARYANA SONIPAT,65456465465,SONIPAT
158,SUNTECH DELHI,65456454665456,DELHI
159,SIMRAN JAGADHRI,564564564665456,JAGADHRI
160,BANSAL BHALGARH,9996944445,BHALGARH
161,LUMBA BILASPUR,1234567891,BILASPUR
162,SANT NAMDEV BILASPUR,545646645545,BILASPUR
163,GROVER ENTERPRISES PIPLI,8059802117,PIPLI
164,TV CENTER AMBALA CANTT,1234567891,AMBALA CANTT
165,POONER UPHAR GOHANA,1234567891,GOHANA
166,MK KAMIMAJRA,5645646465465,YNR
167,GOEL ELE GHAROUNDA,566465454545,GHAROUNDA
168,BRIGHT COMPUTER PANIPAT,65645446546,PANIPAT
169,CHAMAN STEAL BARWALA,9729369419,BARWALA
170,KRISHNA THANACHHAPAR,7015587450,THANACHHAPAR
171,AMANDEEP BABAIN,1234567891,BABAIN
172,GEN NEXT TRADER SONIPAT,654545454645,SONIPAT
173,VK AMBALA CANTT,1234567891,AMBALA CANTT
174,GULATI PINJORE,1234567891,PINJORE
175,LOVELY AMBALA CITY,1234567891,AMBALA CITY
176,WAHI BILASPUR,1234567891,BILASPUR
177,RANA ELE NARAINGARH,1234567891,NARAINGARH
178,DURGA SHADIPUR,1234567891,YNR
179,JAIN ELECTRIC SALES GHANOUR,1234567891,GHANOUR
180,RENUKA KHZ,1234567891,KHZ
181,NARULA HAMIDA,1234567891,YNR
182,MUNJAL ELE SHAHABAD,1234567891,SHAHABAD
183,PUNDIT SOFA & FURNITURE,1234567891,SONIPAT
184,OM SHADIPUR,1234567891,SHADIPUR
185,AGGARWALA LADWA BAJAJ LADWA SUB DELAER,1234567891,LADWA
186,METRO SALES SAMALKHA,1234567891,SAMALKHA
187,OM PARKASH JHAMB JUNDLI,1234567891,JUNDLI
188,NITIN ELE JAGADHRI,1234567891,JAGADHRI
189,BASSI AMBALA CITY,1234567891,AMBALA CITY
190,HASIZA GHANOUR,1234567891,GHANOUR
191,KUMAR KALPI,1234567891,KALPI
192,GIRDHAR KALAKA,1234567891,KALKA
193,GUPTA AGENCY TARAWADI,1234567891,TARAWADI
194,RK RAMGARH,1234567891,RAMGARH
195,SERIES ELE KARNAL,1234567891,KARNAL
196,KAKA PARVALO,1234567891,PARVALO
197,AGGARWAL CHEEKA,1234567891,CHEEKA
198,SUNNY AMBALA CITY,1234567891,AMBALA CITY
199,MADDAN AMBALA CITY,1234567891,AMBALA CITY
200,SHIVA TRADER KUK,1234567891,KUK
201,SHIV SHAKTI UGALA,1234567891,UGALA
202,SAINI MUSIMBLE,1234567891,MUSSIMBLE
203,DHIMAN LADWA,1234567891,LADWA
204,BHAGWATI THANACHHAPAR,1234567891,THANACHHAPAR
205,SHAM RADIO JAGADHRI,1234567891,JAGADHRI
206,DHINGRA YNR,1234567891,YNR
207,KRISHNA ELE GOHANA,1234567891,GOHANA
208,MATTA ELE KAITHAL,1234567891,KAITHAL
209,GANDHI ELE PANIPAT,1234567891,PANIPAT
210,MONA ELE GOHANA,1234567891,GOHANA
211,SHARMA ELE THOL,1234567891,THOL
212,MAHALAXMI RAIPURRANI,1234567891,RAIPURRANI
213,GUPTA AGENCY GHAROUNDA,1234567891,GHAROUNDA
214,GULATI JUNDLA,1234567891,JUNDLA
215,KHATPAL TARAWADI,1234567891,TARAWADI
216,AGGARWAL PINJORE,1234567891,PINJORE
217,MODERN KAITHAL,1234567891,KAITHAL
218,DHAWAN RAIPURRANI,9992707492,RAIPURRANI
219,GOEL NARAINGARH,9896917167,NARAINGARH
220,GOEL ELE KHARKA,1234567891,KHARKA
221,KISAN SEWA KENDER KHZ,1234567891,KHZ
222,GURMEET BHADSON,1234567891,BHADSON
223,GURU KIRPA PINJORE,1234567891,PINJORE
224,GARG JAMMU COLONY ,1234567891,YNR
225,BAJAJ LADWA,1234567891,LADWA
226,RK GHANOUR,1234567891,GHNAOUR
227,KHURANA JAGADHRI,1234567891,JAGADHRI
228,ANAND MATERI,1234567891,MATERI
229,GARG TIRTH NAGAR ,1234567891,YNR
230,NAGESH KALKA,1234567891,KALKA
231,NEW DHIMAN LADWA,1234567891,LADWA
232,DURGA JUNDLI,1234567891,JUNDLI
233,SK TRADER HAMIDA,1234567891,YNR
234,VIJAY ELE SONIPAT,1234567891,SONIPAT
235,RAJINDRA RADIO KUK,1234567891,KUK
236,SAI ELE SONIPAT,1234567891,SONIPAT
237,VERMA JAGADHRI,1234567891,JAGADHRI
238,SATNAM KAPALMOCHAN,1234567891,BILASPUR
239,SWEETY AMBALA CITY,1234567891,AMBALA CITY
240,NAMAN NOHANI,1234567891,NOHNI
241,CHABRA ELE,1234567891,YNR
242,HARMAN ELE YNR,1234567891,YNR
243,DP PINJORE,1234567891,PINJORE
244,SAINI ELE JAGADHRI,1234567891,YNR
245,BHATIA COMPUTER YNR,1234567891,YNR
246,RAMAN MATHLODA,1234567891,MATHLODA
247,GOEL TRADER KARNAL,1234567891,KARNAL
248,BATTRA ELE GHAROUNDA,1234567891,GHAROUNDA
249,PREM SONS YNR,1234567891,YNR
250,KALIKA CHANDI MANDIR,1234567891,PINORE
251,PARKASH GANDHI YNR,1234567891,YNR
252,GUPTA NISSING,1234567891,NISING
253,SHIV MUSIC BHADSON,1234567891,BHADSON
254,SAINI KALA AMB,1234567891,KALA AMB
255,BATTRA ELE INDRI,1234567891,INDRI
256,CHOUHAN MITHAPUR,1234567891,MITHAPUR
257,MTS COMPUTER SONIPAT,1234567891,SONIPAT
258,PC SOLUTION SHAHBAD,1234567891,SHAHBAD
259,BANGGA ELE YNR,1234567891,YNR
260,SHRI RAM RADOUR,1234567891,YNR
261,SAHIL TV  KHERI GULAM ALI,1234567891,KHERI GULAM ALI
262,BHAGAT RAM INDRI,1234567891,INDRI
263,GURU KIRPA KHERI LEKHA SINGH,1234567891,KHERI LEKHA SINGH
264,AAROHI ELE,1234567891,YNR
265,Neha kalka,8894456777,Kalka
266,SHREE BALAJI SAMALKHA,1234567891,SAMALKHA
267,MICRO SOLUTION YNR,1234567891,YNR
268,UNITED TV CENTER SHAHABAD,1234567891,SHAHBAD
269,SHIV RADIO PEHWA,1234567891,PEHWA
270,GOEL UGALA,1234567891,UGALA
271,TECHNOLOGY HUB SONIPAT,1234567891,SONIPAT
272,SETHI ELE KHARWAN,1234567891,KHARWAN
273,STAR COMPUTER ASSANDH,1234567891,ASSANDH
274,BHUTANI GHANOUR,1234567891,GHANOUR
275,STAR ENTERPRISES CHEKEKA,1234567891,CHEEKA
276,CHAWLA NILOKHERI,1234567891,NILOKHERI
277,SHRI KRISHNA ELE PINJORE,1234567891,PINJORE
278,OM COMMUNICATION SHADIPUR,1234567891,YNR
279,GEETA ELE SONIPAT,1234567891,SONIPAT
280,SAINI SASOULI,1234567891,YNR
281,AKAMY COMPUTER PANIPAT,1234567891,PANIPAT
282,SHAYAM JI SONIPAT,1234567891,SONIPAT
283,OK ELE YNR,1234567891,YNR
284,CHAWLA AMBALA CITY,1234567891,AMBALA CITY
285,KOHLI JAGADHRI,1234567891,JAGADHRI
286,AKASH ENTERPRISES YNR,78976545645,""
287,KK BROTHER SAMALKHA,1234567891,SMALKHA
288,AHUJA ELECTRICAL,1234567891,YNR
289,MUNJAL ELE NIGDU,1234567891,NIGDU
290,CHOPRA NILOKHERI,1234567891,NILOKHERI
291,SONIPAT ELE SONIPAT,1234567891,SONIPAT
292,NEW ROHIT BAPOLI,1234567891,BAPOLI
293,NEW BHARAT ELE DHAND,1234567891,DHAND
294,GOLDY GHAROUNDA,1234567891,GHAROUNDA
295,RR HARSHITA A CITY,1234567891,AMBALA CITY
296,NAMAN RADOUR,1234567891,RDOUR
297,AARTI AGENCY YNR,1234567891,YNR
298,JHONY COMMUNICATION YNR,1234567891,YNR
299,GREWAL NARAINGARH,1234567891,NATRAINGARH
300,ASHOKA CORPORATION AMBALA CANTT,1234567891,AMBALA CANTT
301,RAJ VIDEO PINJORE,1234567891,PINJORE
302,SACHDEVA RADOUR,1234567891,RADOUR
303,ZOOM A CITY,1234567891,AMBALA CITY
304,SUNBURN ELE SONIPAT,1234567891,SONIPAT
305,MALHOTRA ELE PEHWA,1234567891,PEHWA
306,ARORA RAFAIGRATION KUK,1234567891,KUK
307,AHUJA TARAWADI,1234567891,TARAWADI
308,ROYAL ELE PANIPAT,1234567891,PANIPAT
309,SK TRADER KARNAL,1234567891,KARNAL
310,KP GHANOUR,1234567891,GHANOUR
311,SHREE NATH COMPUTER SHAHABAD,1234567894,HARYANA
312,FRIENDS ELE DOSARKA,1234567891,DOSARKA
313,SONY ELE KAITHAL,1234567891,KAITHAL
314,SAINI ELE KHZ,1234567891,KHZ
315,SOLER ELE A CANTT,1234567891,AMBALA CANTT
316,GOEL COM GOHANA,1234567891,GOHANA
317,SAINI TELECOM KHZ,1234567891,KHZ
318,DAVENDER PILOKHERA,1234567891,PILOKHERA
319,MALHOTRA JAGADHRI,1234567891,JAGADHRI
320,HARMAN ELE JUNDLA,1234567891,JUNDLA
321,AMIT CHEEKA,1234567891,CHEEKA
322,GABA ELE JHANSA,1234567891,JHANSA
323,NAVEEN ELE GHANOUR,1234567891,GHANOUR
324,SR TRADER KHARWAN,1234567891,KHARWAN
325,GK KARNAL,321231231321,KARNAL
326,RAJESH NILOKHERI,1234567891,NILOKHERI
327,DYAL ELE BURIA,1234567891,BURIA
328,SAMTA ELE KHARWAN,1234567891,KHARWAN
329,MAHESH RAIPURRANI,1234567891,RAIPURRANI
330,POPLI ELE KARNAL,1234567891,KARNAL
331,SHREE BHAGWAN GOHANA,1234567891,GOHANA
332,RK JAGADHRI,1234567891,JAGADHRI
333,MELODY KALKA,1234567891,KALKA
334,SAI ELE KARNAL,1234567891,KARNAL
335,SATISH FURNITURE BILASPUR,1234567891,BILASPUR
336,GANESH NIGHDU,1234567891,NIGDU
337,NEW AGGERWAL CHEEKA,1234567891,CHEEKA
338,TANUJ KUK,1234567891,KUK
339,NEW PUNJAB SAMADHA,1234567891,SAMADHA
340,NEW BHARAT DHAND,1234567891,DHAND
341,JK KAITHAL,1234567891,KAITHAL
342,SWARAN ENTERPRISES JAGADHRI,1234567891,JAGADHRI
343,GOPAY AGENCY KARNAL,1234567891,KARNAL
344,SUNIL BHALGARH,8168019719,""
345,BEST BY ISMILABAD,1234567891,ISMILABAD
346,KRISHNA TRADING GHRAUNDA,1234567891,GHAROUNDA
347,BATIYA COM YNR,1234567891,YNR
348,POWER TECHNOLOGY KARNAL,1234567891,KARNAL
349,NATRAJ PINJORE,1234567891,PINJORE
350,PRUTHI COMUNICATION PANIPAT,1234567891,PANIPAT
351,bss group karnal,1234567891,KARNAL
352,shubhash kansapur,1234567891,YNR
353,DISCOUNT SHOP KUK,9911791025,KUK
354,A ONE JAGADHRI,1234567891,JAGADHRI
355,K SONS GOHANA,1234567891,GOHANA
356,Shree ganpati ynr,1234567891,YNR
357,Ambicious radour,1234567891,RADOUR
358,REHMAT ENTERPRISES SAHA,1234567891,SAHA
359,DEEPAK RAJOND,1234567891,RAJOND
360,JEETU ELE GOHANA,1234567891,GOHANA
361,ICON AMBALA CITY,1234567891,AMBALA CITY
362,PANKAJ PILLOKHEDA,1234567891,PILLOKHEDA
363,KATURIA SIVAN,1234567891,SIVAN
364,GOSWAMI TV CENTER GHANOUR,1234567891,GHANOUR
365,KAPIL ELE YNR,1234567891,YNR
366,BALAJI CHHACHHROULI,1234567891,CHHACHHROULI
367,BALA JI PEHOWA,1234567891,PEHOWA
368,KAMRA ENTERPRISES ASSANDH,1234567891,ASSANDH
369,MEHLA PUNDRI,1234567891,PUNDRI
370,MODERN TARAWADI,1234567891,TARAWADI
371,RAJA ELE NISSING,1234567891,NISSING
372,VISHVKARMA SEHZADPUR,1234567891,SEHZADPUR
373,LORD SHIVA PANIPAT,1234567891,PANIPAT
374,BHAGWAN FURNITURE GOHANA,1234567891,GOHANA
375,AMBEY SHAKTI HAMIDA,9138195191,HAMIDA
376,ELECTRONICES HUB KARNAL ,1234567991,KARNAL
377,SAHIB ELE PIPLI (SUB DEALER GOPY AGENCY KARNAL),7015223836,KUK
378,DIZITECH PANIPAT,1234567891,PANIPAT
379,BHARAT ELE DHAND,1234567891,DHAND
380,MAHAVIRA ELE SONIPAT,1234567891,SONIPAT
381,KHURANA ELE KARNAL,1234567891,KARNAL
382,SHREE BALAJI CHHACHHROULI,1234567891,CHHACHHROULI
383,MEHAR AMBALA CITY,7988383207,AMBALA CITY
384,SHREE BALAJI AMBALA CITY,1234567891,AMBALA CITY
385,HARGOVIND SAFIDO,1234567891,SAFIDO
386,SK STEEL JATHLANA ,1234567891,JATHLANA
387,SHOP 2,1234567891,KARNAL
388,SAINI ELE CAMP,1234567891,YNR
389,GAUTAM GHANOUR,1234567891,SONIPAT
390,SHARMA MUNAK KARNAL,1234567891,KARNAL
391,CHAWLA COMMUNICATION ,12345789156,CAMP
392,CHAWLA MOBILE CAMP,1234567891,YNR
393,NEW KATHYAL NILOKHERI,1234567891,NILOKHERI
394,JASPAL ELE KARNAL,1234567891,KARNAL
395,RS PUNCHKULLA,1234567891,PUNCHKULLA
396,DAHIYA ELE SONIPAT,1234567891,SONIPAT
397,KIRAN ELE GHRAOUNDA,1234567891,GHRAOUNDA
398,SALUJA INDRI ,1234567891,INDRI
399,NAVDEEP ARORA,9812172327,YNR
400,SMART STORE YNR,1234567891,YNR
401,KAMAL FURNITURE YNR,1234567891,YNR
402,SATGURU KUK,1234567891,KUK
403,SHAM JI SONIPAT ,1234567891,SONIPAT
404,ANJALI STEEL PEHWA,1234567891,PEHWA
405,RKY YNR,1234567891,YNR
406,HK TRADING COMPONY BANNA,1234567891,BANNA
407,MANNU RASINA,1234567891,KAITHAL
408,SAINI JANSUI,1234567891,JANSUI
409,MEET ELE MUSTFABAD,1234567891,MUSTAFABAD
410,ALKA RADIO U.P,1234567891,MUJJAFAR NAGAR 
411,HEMANT SHARMA,9315837000,YNR
412,OM SAI BARARA,1234567891,BARARA
413,MODERN INDRI ,1234567891,INDRI
414,VISHAL JAGADHRI ,1234567891,JAGADHRI
415,SANDEEP ELECTRO WORD YNR,1234567891,YNR
416,AMIT PILUKHERA,44454545456,PILUKHERA
417,GURU KIRPA ISMAILABAD ,1234567891,ISMAILABAD
418,JAGDISH ELE JAGADHRI,1234567891,JAGADHRI
419,SLUJA INDRI,1234567891,INDRI
420,JEET ELE JATHLANA,1234567891,JATHLANA
421,SHIVA ELE SADHOURA,1234567891,SADHOURA
422,GURUNANAK ELE SAMADHA,1234567891,SAMADHA
423,NAIN ELE PUNDRI,1234567891,KAITHAL
424,MORR ELE ,1234567891,PAI
425,RAJU KHZ,1234567891,KHZ 
426,JS KAITHAL,1234567891,KAITHAL
427,CHAMAN RISHI DAND ,1234567891,DAND
428,JMD PEHOWA,1234567891,PEHOWA
429,RK MATHERI,1236547896,""
430,JAHAR AMBALA CANTT,1234567891,""
431,SAMTA ( KHURANA DEALER),1234567891,""
432,MUZWAL HABRI,7896541236,""
433,SACCHI COM. YNR,4561239638,""
434,KAHNA ELE KARNAL,7854123654,""
435,MILAN MOBILE & ELECTRONIC KITHANA,1234567891,KITHANA
436,LOVE  KUSH PUNDRI,8529517536,PUNDRI
437,GURU BRHMA NAND,8523645123,""
438,SHIV ELE RASINA,7539512688,""
439,SAHIL TV ENTERPRISES,1234567891,PUNDRI
440,NEW KOHINOOR SONIPAT,8956321458,""
441,BATRA ELE KHARKHODA,7845965874,""
442,KAMAL GIFT JAGADHARI,1597854626,JAGADHRI
443,SAINI DOSADKA,9568956895,""
444,RADHEY GHANOUR,8965412365,""
445,RAMESH ELE PANIPAT,2542624526,PANIPAT
446,LUXMI PAI,9729484700,KAITHAL
447,SHAM ELE KAITHAL,7845123548,KAITHAL
448,GOPAL ELE KAITHAL,9845632145,KAITHAL
449,SH. BRHMANAND,8547854785,PUNDRI
450,KAHNA ,9632589652,SIWAN
451,VISHNU ELE ,6596452189,KHARKAN
452,COMPUTER & ELE GOHANA,4578451584,GOHANA
453,YUVRAJ ENTERPRISES KARNAL,7854123658,KARNAL
454,SHRI KRISHNA GOHANA,9315530227,GOHANA
455,MITTAL ELE SHEZADPUR,7015670878,SHEZADPUR
456,KANARIO ELE KAITHAL,9865231478,KAITHAL
457,SAINI ELE RASULPUR,8529637415,RASULPUR
458,AEROVISION AMBALA CANTT,1245566654,AMBALA CANTT
459,KHUSHI ELE SANDIL,8754958456,SANDIL
460,HARI OM KALAYAT,8529631478,KALAYAT
461,RD ELE BADSIRKI,7854123698,BADSIRKI
462,AEROVISION AMBALA CITY,9635214755,AMBALA CITY
463,RANA ELE SONIPAT,1234567896,SONIPAT
464,BHARAT ELE ASSANDH,7412365412,ASSANDH
465,PARUL ELE YNR,7206037506,YNR
466,SUPREME,7418529632,PUNDRI
467,SETHI ELE GHANOUR,1234567958,GHANOUR
468,WIG TV CENTER GHROUNDA,6201631097,GHROUNDA
469,PUNJAB ELE SAMADHA,1472583695,SAMADHA
470,ADITIYA ELE (SUB DEALER GOPY AGENCY KARNAL),8708365766,KARNAL
471,SHIV SHAKTI UCCHANA( SUB DEALAR OF KHUSHI ELE SANDIL),1472583695,UCCHANA
472,HINDUSTAN,6256423658,SONIPAT
473,COMPUTER & ELE  WORLD GOHANA,2584536258,GOHANA
474,PARDEEP COMM. SONIPAT,9996202509,SONIPAT
475,MANOJ ENT KALPI,9896360624,KALPI
476,DEVIKA ELE SUB DEALER OF BASSI ELE ,8360674866,LALDU
477,AGGARWAL ELE SHEZADPUR,9729518034,SHEZADPUR
478,PARHLAD ELE SONIPAT,1234567895,SONIPAT
479,SHAM ENT CHCHROULI,1251214521,CHCHROULI
480,SETHI ELE SONIPAT,9306059986,SONIPAT
481,SS MOBILE & ELE JAGADHARI,7876311110,JAGADHRI
482,JINDAL STEPLIZER CHEEKA,1452365236,""
484,ARUN ELE ,2583652364,YNR
483,SAINI ELE PEHWA,3216547892,PEHOWA
485,SAHIL ELE & MOBILES CAMP,9541162600,CAMP
486,ANGEL COMPUTERS ,8273770000,GHANOUR
487,AGGARWAL ELE BILASPUR,1235236985,BILASPUR
488,HARDEEP BAWA,2583985624,YNR
489,SHRI RAM ELE  GOHANA,1234521212,GOHANA
490,SHRI KRISHNA ELE PUNCHKULLA,1596547854,PUNCHKULLA
491,K SONS ELE YNR,2583691475,YNR
63,ARORA ELE A CITY,9315116011,AMBALA CITY
492,ARORA ELE SHADIPUR,23445345345,YNR
493,VISHAL ELE BARARA,1236259856,BARARA
125,BS BHALGARH,6545644556,BHALGARH
494,DHIMAN TRADERS ,4569526588,LADWA
527,PAL ELE BURIA,9898989898,BURIA
528,MA VAISHNO TRADERS,9729449505,DAMLA
529,NARANG ELE KARNAL,8877665544,KARNAL
530,SHRI BALA JI  GHANOUR,9729454101,GHANOUR
531,AS ELE GHANOUR,22222222222,GHANOUR
532,MADHU ELE AMBALA CITY,9138110111,AMBALA CITY
533,AGGARWAL GOODS CHEEKA,2582582582,CHEEKA
534,METRO AIRCONDITIONER ,9896060122,SONIPAT
535,HIND ELE SHABAD,1221212222,SHABAD
536,DEEP TRANDING FARMANA,8813026629,FARMANA
537,PAL ELE YNR,1245454545,YNR
538,PADAM ELE GHANOUR,9255142704,GHANOUR
539,CITY PALACE PANIPAT,9416405733,PANIPAT
540,SANJAY ELE GOHANA,8989898888,GOHANA
541,DHEER 1,146898909077,YNR
542,ANUJ ELE YNR,9034280790,KANSAPUR YNR
544,MUDIT ELE GHANOUR,9250431508,GHANOUR
545,MALHOTRA APPLIANCES,8968972296,GHANOUR
546,INSTA MOBILE YNR,9466452003,YNR
547,ARROW COM CHCHROULI,7876660002,CHCHROULI
548,BHARTI ELE GHROUNDA,7015968676,GHROUNDA
549,GAUTAM SHARMA,1234567891,YNR
550,BANSAL FUR KALA AMBH,8950413426,KALA AMBH
551,VINOD JANGRA,8562654566,GOHANA
552,SHRI COMM.KHZ,25842362225,KHZ
553,OM ELE KUK,8529832818,KUK
