id,name,brand
214,6262,Pizaro
215,CELLING FAN THUNDER,KENWA
216,4092BT,Cemex
217,409,Pizaro
218,9500 M,Cemex
219,LED 32 SMART,EGG
220,LED 32,EGG
221,COOLER SLIM ,BUSH
222,COOLER FREEZE ,BUSH
223,LED 22,Cemex
224,COOLER JUPITER,BUSH
225,LED 55 SMART,BUSH
226,COOLER OXAN ,BUSH
227,COOLER CHILL,BUSH
228,COOLER FROSTY,BUSH
229,COOLER COOL,BUSH
230,COOLER SVL,SVL
231,COOLER CRYSTAL,BUSH
232,COOLER WINGS,BUSH
265,COLLER CHROME ,BUSH
266,LED 24,Pizaro
267,7800BT,Cemex
268,7800 BT,Pizaro
269,AMPLIFIRE,Pizaro
270,4545,Cemex
271,LED 32,SVL
272,7200BT,Cemex
273,WM7250,SVL WM
274,4343,Cemex
275,1818 BT,KENWA
276,401,KENWA
277,LED 32 SIMPLE,OSCORP
278,LED 32,ORSON
279,LED 24,ORSON
280,WM 8850,SVL
281,650 TRALLY,Cemex
282,6000 BT,Cemex
283,3000 BT ,KENWA
284,3000 BT ,Pizaro
285,4021,Pizaro
286,4021,Cemex
287,4021,KENWA
288,5094,Cemex
289,5094,Pizaro
290,5094,KENWA
125,GYSER  102,Pizaro
291,GYSER 101,Pizaro
292,GYSER  103,Pizaro
293,GYSER 104,Pizaro
294, SOUND BAAR 7211  ,SALORA
295,5092,Cemex
296,5092,Pizaro
297,5092 ,KENWA
328,32000BT,Pizaro
329,TOWER 210,Pizaro
330,2100BT,Cemex
331,"LED 50""",OSCORP
332,8200BT,Cemex
333,26000BT,Cemex
334,INDUCTION ,Pizaro
367,11000,Pizaro
368,DESH TOWER,KENWA
369,30000 BT,Cemex
370,13002BT,Cemex
371,4040BT,Pizaro
372,2200BT,Cemex
373,WM 8700,SVL
374,LED 55 SMART,KENWA
375,LED 55 SMART,Cemex
376,LED 55 SMART,Pizaro
377,8510,Cemex
379,4400BT,Cemex
380,CELLING FAN BUSH,BUSH
381,13001BT,Cemex
382,9110BT,Cemex
383,TRALLY 210BT ,Cemex
384,COOLER SWEET 16,BUSH
385,COOLER EAST,BUSH
386,COOLER BEST,Pizaro
387,COOLER NEW I BUSH,BUSH
388,COOLER,Pizaro
389,COOLER APEX,Pizaro
390,5858BT,Cemex
391,150-B,Cemex
