id,dealer_name,dealer_contact,dealer_address
67,COST TO COST,1234569871,PANIPAT
68,PAWAN ELE,1234567991,GHANOUR
69,VERDHMAN SONIPAT,7015425583,SONIPAT
70,ZAHAR ELE,9468026100,AMBALA CANTT
71,GUPTA TV SHOWROOM,8059588859,AMBALA CANT
72,DEEPAK CHEEKA,9315621112,CHEEKA
73,OM PARKASH JHAMB AMBALA CANTT,9729555556,AMBALA CANTT
74,BALAJI HINDUSTAN,1234567991,PANIPAT
75,SHAM TARAWADI,1234567891,TARAWADI
76,GANPATI VISION,1234567913,YNR
77,UTTAM PALACE,32165498752,CHHACHHROULI
78,DHAWAN ELE RADOUR,1234569741,RADOUR
79,RAJA BARARA,9728909107,BARARA
80,SUKHDEV JATHLANA,1234567891,JATHLANA
81,CHIRAG ELE KARNAL,9896010060,KARNAL
82,SAHNI ELE,9017888588,JAGADHRI
83,KALRA FRIUT  SONIPAT,8053972517,SONIPAT
84,PARAS COPMPUTER,9254667100,LADWA
85,SR KARNAL,7404183900,KARNAL
86,DD AMBALA CANTT,9996852222,AMBALA CANTT
87,SWEETY ELE YNR,8607668006,YNR
88,RAJLUXMI KARNAL,9416121534,KARNAL
89,SHAKTI ISMILABAD,9896752547,ISMILABAD
90,PRINCE KARNAL,9896229065,KARNAL
91,PURI SONIPAT,9812227107,SONIPAT
92,VK AMBALA CITY,9306602727,AMBALA CITY
93,SJK BHALGARH,9896804008,BHALGARH
94,SUPER ELE,9255529255,GOHANA
95,JK FURNITUR,5545454545,KAITHAL
96,SUBHASH ELE,9416246401,AMBALA CANTT
97,KAKAR ASSOCIATE,8307285853,YNR
98,SHIV THANACHHAPAR,9813286371,THANACHHAPAR
99,STAR ELE WORD,9896984377,YNR
100,MUSKAAN  ELE,7015505292,AMBALA CITY
101,LUXMI KHZ,8168293336,KHIZRABAD
102,GOEL KALKA,9354199472,KALKA
103,GUPTA MATHLODA,9215827500,MATHLODA
104,DHEER 2,8607123712,YNR
105,SHRI GAUTAM GHANOUR,65487897897,GHANOUR
106,SUDHIR SONIPAT,7988067669,SONIPAT
107,DEVA ELE,9815871777,KARNAL
108,GROVER SONIPAT,234566777899,SONIPAT
109,GOLDEN LADWA,7015131558,LADWA
110,GANDHI GHANOUR,65464646465,GHANOUR
111,GARG GIFT HOUSE,9034221066,ASSANDH
112,BK SAHA,7015745499,SAHA
113,RAJU ELE,654654564654,JAGADHRI
114,DURGA JAGADHRI,9050656744,JAGADHRI
115,KAMBOJ BILASPUR,9416406036,BILASPUR
116,SAINI BROTHER,7015201385,AMBALA
117,AS SONIPAT,9896830422,SONIPAT
118,ANURAG RADIO,9992282381,PEHWA
119,RAJA TV BILASPUR,8168222962,BILASPUR
120,GAYATRI BARWALA,8901189777,BARWALA
121,CHIRAG SONIPAT,8950044415,SONIPAT
122,SIMRAN MUSTAFABAD,9466400056,MUSTAFABAD
123,CHAWLA KHARKHODA,55456545464,KHARKHODA
124,CHAWLA JAGADHRI,9354214011,JAGADHRI
125,BS BHLAGARH,6545644556,BHALGARH
126,SHREE GANESH NIGDU,5454466665,NIGDU
127,BANGA ELE,9729350725,YNR
128,MAA SHARDA,9355570048,YNR
129,OM SAI SHADIPUR,654564646546,SHADIPUR
130,CHAMAN NARAINGARH,54544654646,NARAINGARH
131,JAGDAMBA SEHZADPUR,55656465465,SEHZADPUR
132,AAKASH ENTERPRISES,656545646546,YNR
133,SACHDEVA TARAWADI,66545646546,TARAWADI
134,ahuja camp,9416446299,YNR
135,NEW KATYAL  NILOKHERI ,1234567890,NILOKHERI
136,SAGAR SONIPAT,12121212121,SONIPAT
137,SAINI HARNOL,0123456789,HARNOL
138,SHUKDEV JATLANA ,0123456789,JATHLANA
139,KAKAR COMPUTER BARARA,566465456456,BARARA
140,OM PARKASH JUNDLI,656565665656,JUNDLI
141,SABHARWAL SAHA,9416352669,SAHA
142,SHREE OM KHURANA,564565545545,JAGADHRI
143,LUXMI RADOUR,5645646456,RADOUR
145,VERMA KARNAL,1213456788354,KARNAL
146,KAKAR JUNDLA,6545646456,JUNDLA
147,BAGGA RADIO KAITHAL,655454644654,KAITHAL
148,PURI PEHWA,5645645454,PEHWA
149,SAKSHI TRADER,6545645661,JAGADHRI
150,CHAMAN BARWALA,65456444564,BARWALA
151,GOEL RAMGARH,9216753224,RAMGARH
152,KAMBOJ BURIA,5645454564,BURIA
153,VICKY NIGDU,5645645646,NIGDU
154,GUPTA J/W/S YNR,656544464545,YNR
155,SARSWATI COMPUTER,656545456456,KAITHAL
156,BAJAJ MUSIC ASSANDH,5456465654,ASSANDH
157,BHARAT ELE GOHANA ,1234567891,GOHANA
158,HARYANA SONIPAT,65456465465,SONIPAT
159,SUNTECH DELHI,65456454665456,DELHI
160,SIMRAN JAGADHRI,564564564665456,JAGADHRI
161,BANSAL BHALGARH,9996944445,BHALGARH
162,LUMBA BILASPUR,1234567891,BILASPUR
163,SANT NAMDEV BILASPUR,545646645545,BILASPUR
164,GROVER ENTERPRISES PIPLI,8059802117,PIPLI
165,TV CENTER AMBALA CANTT,1234567891,AMBALA CANTT
166,POONER UPHAR GOHANA,1234567891,GOHANA
167,MK KAMIMAJRA,5645646465465,YNR
168,GOEL ELE GHAROUNDA,566465454545,GHAROUNDA
169,BRIGHT COMPUTER PANIPAT,65645446546,PANIPAT
170,CHAMAN STEAL BARWALA,9729369419,BARWALA
171,KRISHNA THANACHHAPAR,7015587450,THANACHHAPAR
172,AMANDEEP BABAIN,1234567891,BABAIN
173,GEN NEXT TRADER SONIPAT,654545454645,SONIPAT
174,VK AMBALA CANTT,1234567891,AMBALA CANTT
175,GULATI PINJORE,1234567891,PINJORE
176,LOVELY AMBALA CITY,1234567891,AMBALA CITY
177,WAHI BILASPUR,1234567891,BILASPUR
178,RANA ELE NARAINGARH,1234567891,NARAINGARH
179,DURGA SHADIPUR,1234567891,YNR
180,JAIN ELECTRIC SALES GHANOUR,1234567891,GHANOUR
181,RENUKA KHZ,1234567891,KHZ
182,NARULA HAMIDA,1234567891,YNR
183,MUNJAL ELE SHAHABAD,1234567891,SHAHABAD
184,PUNDIT SOFA & FURNITURE,1234567891,SONIPAT
185,OM SHADIPUR,1234567891,SHADIPUR
186,AGGARWALA LADWA BAJAJ LADWA SUB DELAER,1234567891,LADWA
187,METRO SALES SAMALKHA,1234567891,SAMALKHA
188,OM PARKASH JHAMB JUNDLI,1234567891,JUNDLI
189,NITIN ELE JAGADHRI,1234567891,JAGADHRI
190,BASSI AMBALA CITY,1234567891,AMBALA CITY
191,HASIZA GHANOUR,1234567891,GHANOUR
192,KUMAR KALPI,1234567891,KALPI
193,GIRDHAR KALAKA,1234567891,KALKA
194,GUPTA AGENCY TARAWADI,1234567891,TARAWADI
195,RK RAMGARH,1234567891,RAMGARH
196,SERIES ELE KARNAL,1234567891,KARNAL
197,KAKA PARVALO,1234567891,PARVALO
198,AGGARWAL CHEEKA,1234567891,CHEEKA
199,SUNNY AMBALA CITY,1234567891,AMBALA CITY
200,MADDAN AMBALA CITY,1234567891,AMBALA CITY
201,SHIVA TRADER KUK,1234567891,KUK
202,SHIV SHAKTI UGALA,1234567891,UGALA
203,SAINI MUSIMBLE,1234567891,MUSSIMBLE
204,DHIMAN LADWA,1234567891,LADWA
205,BHAGWATI THANACHHAPAR,1234567891,THANACHHAPAR
206,SHAM RADIO JAGADHRI,1234567891,JAGADHRI
207,DHINGRA YNR,1234567891,YNR
208,KRISHNA ELE GOHANA,1234567891,GOHANA
209,MATTA ELE KAITHAL,1234567891,KAITHAL
210,GANDHI ELE PANIPAT,1234567891,PANIPAT
211,MONA ELE GOHANA,1234567891,GOHANA
212,SHARMA ELE THOL,1234567891,THOL
213,MAHALAXMI RAIPURRANI,1234567891,RAIPURRANI
214,GUPTA AGENCY GHAROUNDA,1234567891,GHAROUNDA
215,GULATI JUNDLA,1234567891,JUNDLA
216,KHATPAL TARAWADI,1234567891,TARAWADI
217,AGGARWAL PINJORE,1234567891,PINJORE
218,MODERN KAITHAL,1234567891,KAITHAL
219,DHAWAN RAIPURRANI,9992707492,RAIPURRANI
220,GOEL NARAINGARH,9896917167,NARAINGARH
221,GOEL ELE KHARKA,1234567891,KHARKA
222,KISAN SEWA KENDER KHZ,1234567891,KHZ
223,GURMEET BHADSON,1234567891,BHADSON
224,GURU KIRPA PINJORE,1234567891,PINJORE
225,GARG JAMMU COLONY ,1234567891,YNR
226,BAJAJ LADWA,1234567891,LADWA
227,RK GHANOUR,1234567891,GHNAOUR
228,KHURANA JAGADHRI,1234567891,JAGADHRI
229,ANAND MATERI,1234567891,MATERI
230,GARG TIRTH NAGAR ,1234567891,YNR
231,NAGESH KALKA,1234567891,KALKA
232,NEW DHIMAN LADWA,1234567891,LADWA
233,DURGA JUNDLI,1234567891,JUNDLI
234,SK TRADER HAMIDA,1234567891,YNR
235,VIJAY ELE SONIPAT,1234567891,SONIPAT
236,RAJINDRA RADIO KUK,1234567891,KUK
237,SAI ELE SONIPAT,1234567891,SONIPAT
238,VERMA JAGADHRI,1234567891,JAGADHRI
239,SATNAM KAPALMOCHAN,1234567891,BILASPUR
240,SWEETY AMBALA CITY,1234567891,AMBALA CITY
241,NAMAN NOHANI,1234567891,NOHNI
242,CHABRA ELE,1234567891,YNR
243,HARMAN ELE YNR,1234567891,YNR
244,DP PINJORE,1234567891,PINJORE
245,SAINI ELE JAGADHRI,1234567891,YNR
246,BHATIA COMPUTER YNR,1234567891,YNR
247,RAMAN MATHLODA,1234567891,MATHLODA
248,GOEL TRADER KARNAL,1234567891,KARNAL
249,BATTRA ELE GHAROUNDA,1234567891,GHAROUNDA
250,PREM SONS YNR,1234567891,YNR
251,KALIKA CHANDI MANDIR,1234567891,PINORE
252,PARKASH GANDHI YNR,1234567891,YNR
253,GUPTA NISSING,1234567891,NISING
254,SHIV MUSIC BHADSON,1234567891,BHADSON
255,SAINI KALA AMB,1234567891,KALA AMB
256,BATTRA ELE INDRI,1234567891,INDRI
257,CHOUHAN MITHAPUR,1234567891,MITHAPUR
258,MTS COMPUTER SONIPAT,1234567891,SONIPAT
259,PC SOLUTION SHAHBAD,1234567891,SHAHBAD
260,BANGGA ELE YNR,1234567891,YNR
261,SHRI RAM RADOUR,1234567891,YNR
262,SAHIL TV  KHERI GULAM ALI,1234567891,KHERI GULAM ALI
263,BHAGAT RAM INDRI,1234567891,INDRI
264,GURU KIRPA KHERI LEKHA SINGH,1234567891,KHERI LEKHA SINGH
265,AAROHI ELE,1234567891,YNR
266,Neha kalka,8894456777,Kalka
267,SHREE BALAJI SAMALKHA,1234567891,SAMALKHA
268,MICRO SOLUTION YNR,1234567891,YNR
269,UNITED TV CENTER SHAHABAD,1234567891,SHAHBAD
270,SHIV RADIO PEHWA,1234567891,PEHWA
271,GOEL UGALA,1234567891,UGALA
272,TECHNOLOGY HUB SONIPAT,1234567891,SONIPAT
273,SETHI ELE KHARWAN,1234567891,KHARWAN
274,STAR COMPUTER ASSANDH,1234567891,ASSANDH
275,BHUTANI GHANOUR,1234567891,GHANOUR
276,STAR ENTERPRISES CHEKEKA,1234567891,CHEEKA
277,CHAWLA NILOKHERI,1234567891,NILOKHERI
278,SHRI KRISHNA ELE PINJORE,1234567891,PINJORE
279,OM COMMUNICATION SHADIPUR,1234567891,YNR
280,GEETA ELE SONIPAT,1234567891,SONIPAT
281,SAINI SASOULI,1234567891,YNR
282,AKAMY COMPUTER PANIPAT,1234567891,PANIPAT
283,SHAYAM JI SONIPAT,1234567891,SONIPAT
284,OK ELE YNR,1234567891,YNR
285,CHAWLA AMBALA CITY,1234567891,AMBALA CITY
286,KOHLI JAGADHRI,1234567891,JAGADHRI
287,AKASH ENTERPRISES YNR,78976545645,""
288,KK BROTHER SAMALKHA,1234567891,SMALKHA
289,AHUJA ELECTRICAL,1234567891,YNR
290,MUNJAL ELE NIGDU,1234567891,NIGDU
291,CHOPRA NILOKHERI,1234567891,NILOKHERI
292,SONIPAT ELE SONIPAT,1234567891,SONIPAT
293,NEW ROHIT BAPOLI,1234567891,BAPOLI
294,NEW BHARAT ELE DHAND,1234567891,DHAND
295,GOLDY GHAROUNDA,1234567891,GHAROUNDA
296,RR HARSHITA A CITY,1234567891,AMBALA CITY
297,NAMAN RADOUR,1234567891,RDOUR
298,AARTI AGENCY YNR,1234567891,YNR
299,JHONY COMMUNICATION YNR,1234567891,YNR
300,GREWAL NARAINGARH,1234567891,NATRAINGARH
301,ASHOKA CORPORATION AMBALA CANTT,1234567891,AMBALA CANTT
302,RAJ VIDEO PINJORE,1234567891,PINJORE
303,SACHDEVA RADOUR,1234567891,RADOUR
304,ZOOM A CITY,1234567891,AMBALA CITY
305,SUNBURN ELE SONIPAT,1234567891,SONIPAT
306,MALHOTRA ELE PEHWA,1234567891,PEHWA
307,ARORA RAFAIGRATION KUK,1234567891,KUK
308,AHUJA TARAWADI,1234567891,TARAWADI
309,ROYAL ELE PANIPAT,1234567891,PANIPAT
310,SK TRADER KARNAL,1234567891,KARNAL
311,KP GHANOUR,1234567891,GHANOUR
312,SHREE NATH COMPUTER SHAHABAD,1234567894,HARYANA
313,FRIENDS ELE DOSARKA,1234567891,DOSARKA
314,SONY ELE KAITHAL,1234567891,KAITHAL
315,SAINI ELE KHZ,1234567891,KHZ
316,SOLER ELE A CANTT,1234567891,AMBALA CANTT
317,GOEL COM GOHANA,1234567891,GOHANA
318,SAINI TELECOM KHZ,1234567891,KHZ
319,DAVENDER PILOKHERA,1234567891,PILOKHERA
320,MALHOTRA JAGADHRI,1234567891,JAGADHRI
321,HARMAN ELE JUNDLA,1234567891,JUNDLA
322,AMIT CHEEKA,1234567891,CHEEKA
323,GABA ELE JHANSA,1234567891,JHANSA
324,NAVEEN ELE GHANOUR,1234567891,GHANOUR
325,SR TRADER KHARWAN,1234567891,KHARWAN
326,GK KARNAL,321231231321,KARNAL
327,RAJESH NILOKHERI,1234567891,NILOKHERI
328,DYAL ELE BURIA,1234567891,BURIA
329,SAMTA ELE KHARWAN,1234567891,KHARWAN
330,MAHESH RAIPURRANI,1234567891,RAIPURRANI
331,POPLI ELE KARNAL,1234567891,KARNAL
332,SHREE BHAGWAN GOHANA,1234567891,GOHANA
333,RK JAGADHRI,1234567891,JAGADHRI
334,MELODY KALKA,1234567891,KALKA
335,SAI ELE KARNAL,1234567891,KARNAL
336,SATISH FURNITURE BILASPUR,1234567891,BILASPUR
337,GANESH NIGHDU,1234567891,NIGDU
338,NEW AGGERWAL CHEEKA,1234567891,CHEEKA
339,TANUJ KUK,1234567891,KUK
340,NEW PUNJAB SAMADHA,1234567891,SAMADHA
341,NEW BHARAT DHAND,1234567891,DHAND
342,JK KAITHAL,1234567891,KAITHAL
343,SWARAN ENTERPRISES JAGADHRI,1234567891,JAGADHRI
344,GOPAY AGENCY KARNAL,1234567891,KARNAL
345,SUNIL BHALGARH,8168019719,""
346,BEST BY ISMILABAD,1234567891,ISMILABAD
347,KRISHNA TRADING GHRAUNDA,1234567891,GHAROUNDA
348,BATIYA COM YNR,1234567891,YNR
349,POWER TECHNOLOGY KARNAL,1234567891,KARNAL
350,NATRAJ PINJORE,1234567891,PINJORE
351,PRUTHI COMUNICATION PANIPAT,1234567891,PANIPAT
352,bss group karnal,1234567891,KARNAL
353,shubhash kansapur,1234567891,YNR
354,DISCOUNT SHOP KUK,9911791025,KUK
355,A ONE JAGADHRI,1234567891,JAGADHRI
356,K SONS GOHANA,1234567891,GOHANA
357,Shree ganpati ynr,1234567891,YNR
358,Ambicious radour,1234567891,RADOUR
359,REHMAT ENTERPRISES SAHA,1234567891,SAHA
360,DEEPAK RAJOND,1234567891,RAJOND
361,JEETU ELE GOHANA,1234567891,GOHANA
362,ICON AMBALA CITY,1234567891,AMBALA CITY
363,PANKAJ PILLOKHEDA,1234567891,PILLOKHEDA
364,KATURIA SIVAN,1234567891,SIVAN
365,GOSWAMI TV CENTER GHANOUR,1234567891,GHANOUR
366,KAPIL ELE YNR,1234567891,YNR
367,BALAJI CHHACHHROULI,1234567891,CHHACHHROULI
368,BALA JI PEHOWA,1234567891,PEHOWA
369,KAMRA ENTERPRISES ASSANDH,1234567891,ASSANDH
370,MEHLA PUNDRI,1234567891,PUNDRI
371,MODERN TARAWADI,1234567891,TARAWADI
372,RAJA ELE NISSING,1234567891,NISSING
373,VISHVKARMA SEHZADPUR,1234567891,SEHZADPUR
374,LORD SHIVA PANIPAT,1234567891,PANIPAT
375,BHAGWAN FURNITURE GOHANA,1234567891,GOHANA
376,AMBEY SHAKTI HAMIDA,9138195191,HAMIDA
377,ELECTRONICES HUB KARNAL ,1234567991,KARNAL
378,SAHIB ELE PIPLI (SUB DEALER GOPY AGENCY KARNAL),7015223836,KUK
379,DIZITECH PANIPAT,1234567891,PANIPAT
380,BHARAT ELE DHAND,1234567891,DHAND
381,MAHAVIRA ELE SONIPAT,1234567891,SONIPAT
382,KHURANA ELE KARNAL,1234567891,KARNAL
383,SHREE BALAJI CHHACHHROULI,1234567891,CHHACHHROULI
384,MEHAR AMBALA CITY,7988383207,AMBALA CITY
385,SHREE BALAJI AMBALA CITY,1234567891,AMBALA CITY
386,HARGOVIND SAFIDO,1234567891,SAFIDO
387,SK STEEL JATHLANA ,1234567891,JATHLANA
388,SHOP 2,1234567891,KARNAL
389,SAINI ELE CAMP,1234567891,YNR
390,GAUTAM GHANOUR,1234567891,SONIPAT
391,SHARMA MUNAK KARNAL,1234567891,KARNAL
392,CHAWLA COMMUNICATION ,12345789156,CAMP
393,CHAWLA MOBILE CAMP,1234567891,YNR
394,NEW KATHYAL NILOKHERI,1234567891,NILOKHERI
395,JASPAL ELE KARNAL,1234567891,KARNAL
396,RS PUNCHKULLA,1234567891,PUNCHKULLA
398,DAHIYA ELE SONIPAT,1234567891,SONIPAT
399,KIRAN ELE GHRAOUNDA,1234567891,GHRAOUNDA
400,SALUJA INDRI ,1234567891,INDRI
401,NAVDEEP ARORA,9812172327,YNR
402,SMART STORE YNR,1234567891,YNR
403,KAMAL FURNITURE YNR,1234567891,YNR
404,SATGURU KUK,1234567891,KUK
405,SHAM JI SONIPAT ,1234567891,SONIPAT
406,ANJALI STEEL PEHWA,1234567891,PEHWA
407,RKY YNR,1234567891,YNR
408,HK TRADING COMPONY BANNA,1234567891,BANNA
409,MANNU RASINA,1234567891,KAITHAL
410,SAINI JANSUI,1234567891,JANSUI
430,MEET ELE MUSTFABAD,1234567891,MUSTAFABAD
431,ALKA RADIO U.P,1234567891,MUJJAFAR NAGAR 
432,HEMANT SHARMA,9315837000,YNR
433,OM SAI BARARA,1234567891,BARARA
434,MODERN INDRI ,1234567891,INDRI
436,VISHAL JAGADHRI ,1234567891,JAGADHRI
397,SANDEEP ELECTRO WORD YNR,1234567891,YNR
437,AMIT PILUKHERA,44454545456,PILUKHERA
438,GURU KIRPA ISMAILABAD ,1234567891,ISMAILABAD
439,JAGDISH ELE JAGADHRI,1234567891,JAGADHRI
440,SLUJA INDRI,1234567891,INDRI
441,JEET ELE JATHLANA,1234567891,JATHLANA
442,SHIVA ELE SADHOURA,1234567891,SADHOURA
443,GURUNANAK ELE SAMADHA,1234567891,SAMADHA
444,NAIN ELE PUNDRI,1234567891,KAITHAL
445,MORR ELE ,1234567891,PAI
446,RAJU KHZ,1234567891,KHZ 
447,JS KAITHAL,1234567891,KAITHAL
448,CHAMAN RISHI DAND ,1234567891,DAND
449,JMD PEHOWA,1234567891,PEHOWA
450,RK MATHERI,1236547896,""
451,JAHAR AMBALA CANTT,1234567891,""
452,SAMTA ( KHURANA DEALER),1234567891,""
453,MUZWAL HABRI,7896541236,""
454,SACCHI COM. YNR,4561239638,""
456,KAHNA ELE KARNAL,7854123654,""
457,MILAN MOBILE & ELECTRONIC KITHANA,1234567891,KITHANA
455,LOVE  KUSH PUNDRI,8529517536,PUNDRI
458,GURU BRHMA NAND,8523645123,""
459,SHIV ELE RASINA,7539512688,""
460,SAHIL TV ENTERPRISES,1234567891,PUNDRI
461,NEW KOHINOOR SONIPAT,8956321458,""
462,BATRA ELE KHARKHODA,7845965874,""
463,KAMAL GIFT JAGADHARI,1597854626,JAGADHRI
464,SAINI DOSADKA,9568956895,""
466,RADHEY GHANOUR,8965412365,""
523,RAMESH ELE PANIPAT,2542624526,PANIPAT
435,LUXMI PAI,9729484700,KAITHAL
467,SHAM ELE KAITHAL,7845123548,KAITHAL
468,GOPAL ELE KAITHAL,9845632145,KAITHAL
469,SH. BRHMANAND,8547854785,PUNDRI
470,KAHNA ,9632589652,SIWAN
471,VISHNU ELE ,6596452189,KHARKAN
472,COMPUTER & ELE GOHANA,4578451584,GOHANA
473,YUVRAJ ENTERPRISES KARNAL,7854123658,KARNAL
33,SHRI KRISHNA GOHANA,9315530227,GOHANA
474,MITTAL ELE SHEZADPUR,7015670878,SHEZADPUR
475,KANARIO ELE KAITHAL,9865231478,KAITHAL
476,SAINI ELE RASULPUR,8529637415,RASULPUR
144,AEROVISION AMBALA CANTT,1245566654,AMBALA CANTT
477,KHUSHI ELE SANDIL,8754958456,SANDIL
478,HARI OM KALAYAT,8529631478,KALAYAT
479,RD ELE BADSIRKI,7854123698,BADSIRKI
480,AEROVISION AMBALA CITY,9635214755,AMBALA CITY
482,RANA ELE SONIPAT,1234567896,SONIPAT
483,BHARAT ELE ASSANDH,7412365412,ASSANDH
484,PARUL ELE YNR,7206037506,YNR
481,SUPREME,7418529632,PUNDRI
485,SETHI ELE GHANOUR,1234567958,GHANOUR
486,WIG TV CENTER GHROUNDA,6201631097,GHROUNDA
519,PUNJAB ELE SAMADHA,1472583695,SAMADHA
520,ADITIYA ELE (SUB DEALER GOPY AGENCY KARNAL),8708365766,KARNAL
521,SHIV SHAKTI UCCHANA( SUB DEALAR OF KHUSHI ELE SANDIL),1472583695,UCCHANA
524,HINDUSTAN,6256423658,SONIPAT
525,COMPUTER & ELE  WORLD GOHANA,2584536258,GOHANA
558,PARDEEP COMM. SONIPAT,9996202509,SONIPAT
560,MANOJ ENT KALPI,9896360624,KALPI
561,DEVIKA ELE SUB DEALER OF BASSI ELE ,8360674866,LALDU
562,AGGARWAL ELE SHEZADPUR,9729518034,SHEZADPUR
563,PARHLAD ELE SONIPAT,1234567895,SONIPAT
564,SHAM ENT CHCHROULI,1251214521,CHCHROULI
565,SETHI ELE SONIPAT,9306059986,SONIPAT
559,SS MOBILE & ELE JAGADHARI,7876311110,JAGADHRI
465,JINDAL STEPLIZER CHEEKA,1452365236,""
566,SAINI ELE PEHOWA,3216547892,PEHOWA
567,ARUN ELE ,2583652364,YNR
